trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
275,False,"{'a': 0.5, 'e': 0.6785569656238394}",30,6,-52.11945530023373,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 1}",1
276,False,"{'a': 0.5, 'e': 0.6763502720785081}",35,17,-77.59388097551206,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 1}",1
277,False,"{'a': 0.5, 'e': 0.6741374913852933}",25,16,12.045732732199806,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.5, 'e': 0.6719186434592066}",20,6,-6.451210000915916,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.669693748269864}",25,13,-12.141008162392396,"{0: 7, 1: 5, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.5, 'e': 0.6674628258413077}",20,11,-1.228237472784517,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.665225896251824}",20,0,-27.906941623262316,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
282,False,"{'a': 0.5, 'e': 0.6629829796337643}",25,2,-40.50346589148533,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 0}",1
283,False,"{'a': 0.5, 'e': 0.6607340961733631}",20,6,-29.537169532303324,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
284,False,"{'a': 0.5, 'e': 0.6584792661105563}",25,2,-48.32228461657428,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
285,False,"{'a': 0.5, 'e': 0.6562185097387992}",20,13,-4.35794088582227,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.5, 'e': 0.653951847404884}",20,13,-0.5409451579804783,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.5, 'e': 0.6516792995087562}",20,8,-24.748755650708585,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
288,False,"{'a': 0.5, 'e': 0.6494008865033318}",20,15,7.919050099249692,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.5, 'e': 0.6471166288943122}",35,17,-37.91497937561536,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
290,False,"{'a': 0.5, 'e': 0.6448265472400007}",20,5,2.6204666604324585,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
291,False,"{'a': 0.5, 'e': 0.6425306621511165}",30,0,-80.23596676900637,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
292,False,"{'a': 0.5, 'e': 0.6402289942906101}",20,9,-54.78075121100147,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 1}",1
293,False,"{'a': 0.5, 'e': 0.6379215643734766}",25,15,0.3969732603847671,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.6356083931665698}",25,7,-21.51859605872972,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.6332895014884148}",20,0,-121.0478826018279,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",1
296,False,"{'a': 0.5, 'e': 0.630964910209021}",20,8,10.766537021707585,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
297,False,"{'a': 0.5, 'e': 0.6286346402496944}",25,19,9.792158789679714,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.6262987125828489}",20,6,-55.24244238665824,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
299,False,"{'a': 0.5, 'e': 0.6239571482318176}",30,15,-46.86230757754404,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 1}",1
300,False,"{'a': 0.5, 'e': 0.621609968270664}",25,19,-32.30230778246742,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
301,False,"{'a': 0.5, 'e': 0.6192571938239917}",20,4,-42.79138386416769,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
302,False,"{'a': 0.5, 'e': 0.616898846066755}",20,8,-91.44042054906475,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 2}",1
303,False,"{'a': 0.5, 'e': 0.6145349462240678}",20,9,-6.725333827928733,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.6121655155710127}",20,0,-41.65256577550147,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
305,False,"{'a': 0.5, 'e': 0.6097905754324496}",30,13,-30.954758213174866,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
